Table: reservations
Field: id | Type: int(11)
Field: churchId | Type: int(11)
Field: title | Type: varchar(255)
Field: roomId | Type: int(11)
Field: resourceIds | Type: longtext
Field: organizerId | Type: int(11)
Field: groupId | Type: int(11)
Field: startTime | Type: datetime
Field: endTime | Type: datetime
Field: type | Type: varchar(255)
Field: status | Type: enum('pending','confirmed','rejected','cancelled')
Field: notes | Type: text
Field: createdAt | Type: datetime
Field: updatedAt | Type: datetime
